latitude;longitude;altitude;wenner
6.181883;1.2110252;40,31;7,86
6.181883;1.2110252;40,31;24,2
6.181733;1.210017;34,29;18,6
6.181733;1.210017;34,29;11,8
6.181375;1.210172;31,5;28
6.181375;1.210172;31,5;27,9
6.181375;1.210172;31,5;27,2
6.181375;1.210172;31,5;26,1
6.181375;1.210172;31,5;31,8
6.181375;1.210172;31,5;31,6
6.181303;1.210916;29,66;32,7
6.181303;1.210916;29,66;33,3
6.181303;1.210916;29,66;19
6.181303;1.210916;29,66;25,8
6.181303;1.210916;29,66;19,8
6.181303;1.210916;29,66;18,7
6.180948;1.210622;60,88;24,3
6.180948;1.210622;60,88;28,8
6.180948;1.210622;60,88;35,9
6.180948;1.210622;60,88;56,8
6.180948;1.210622;60,88;36,6
6.180249;1.210584;25,93;31,7
6.180249;1.210584;25,93;72,3
6.180249;1.210584;25,93;17,2
6.180249;1.210584;25,93;28,6
6.180249;1.210584;25,93;24,5
6.180914;1.21006;24,33;26,8
6.180914;1.21006;24,33;31,3
6.180914;1.21006;24,33;24,5
6.180914;1.21006;24,33;31
6.180914;1.21006;24,33;18,5
6.180063;1.209998;31,01;4,04
6.180063;1.209998;31,01;28,8
6.180063;1.209998;31,01;21,6
6.180063;1.209998;31,01;15,9
6.180063;1.209998;31,01;11
6.179799;1.210136;19,41;33,8
6.179799;1.210136;19,41;28,5
6.179799;1.210136;19,41;50,2
6.179799;1.210136;19,41;24,1
6.179799;1.210136;19,41;32,6
6.179775;1.210802;39,37;21,3
6.179775;1.210802;39,37;25,7
6.179775;1.210802;39,37;45,8
6.179775;1.210802;39,37;17,6
6.179775;1.210802;39,37;24,5
6.18132;1.211178;28,53;27,6
6.18132;1.211178;28,53;28
6.18132;1.211178;28,53;31,9
6.18132;1.211178;28,53;29,6
6.18132;1.211178;28,53;27,2
6.181376;1.212065;22,38;11,5
6.181376;1.212065;22,38;35,4
6.181376;1.212065;22,38;19
6.181376;1.212065;22,38;14,6
6.181376;1.212065;22,38;16,6
6.181597;1.212925;13,17;27,8
6.181597;1.212925;13,17;19,6
6.181597;1.212925;13,17;47,7
6.181597;1.212925;13,17;26,7
6.181597;1.212925;13,17;30,4
6.18244;1.212966;26,48;23
6.18244;1.212966;26,48;19,8
6.18244;1.212966;26,48;53
6.18244;1.212966;26,48;9,44
6.18244;1.212966;26,48;18,8
6.182254;1.212632;20,16;21,7
6.182254;1.212632;20,16;30,3
6.182254;1.212632;20,16;13,3
6.182254;1.212632;20,16;29,5
6.182254;1.212632;20,16;26,2
6.182396;1.211632;28,63;13,2
6.182396;1.211632;28,63;8,75
6.182396;1.211632;28,63;13,6
6.182396;1.211632;28,63;53
6.182396;1.211632;28,63;18,4
6.182762;1.211844;24,62;24,2
6.182762;1.211844;24,62;21,8
6.182762;1.211844;24,62;27,3
6.182762;1.211844;24,62;23,7
6.182762;1.211844;24,62;28,5
6.182687;1.212746;20,6;12
6.182687;1.212746;20,6;20,5
6.182687;1.212746;20,6;18
6.182687;1.212746;20,6;10,4
6.182687;1.212746;20,6;15,9
6.182451;1.211522;25,24;37,2
6.182451;1.211522;25,24;33,2
6.182451;1.211522;25,24;39,6
